book,chapter,verse,text
Testament of Reuben,4,8,"himself with the sons of men and derision with Beliar. For ye heard regarding Joseph how he guarded himself from a woman, and purged his thoughts from all fornication, and found favour in"
Testament of Reuben,4,9,"the sight of God and men. For the Egyptian woman did many things unto him, and summoned"
Testament of Reuben,4,10,"magicians, and offered him love potions, but the purpose of his soul admitted no evil desire. Therefore"
Testament of Reuben,4,11,"the God of your fathers delivered him from every evil (and) hidden death. For if fornication overcomes not your mind, neither can Beliar overcome you."
Testament of Reuben,5,1,"For evil are women, my children; and since they have no power or strength over man, they use"
Testament of Reuben,5,2,"wiles by outward attractions, that they may draw him to themselves. And whom they cannot"
Testament of Reuben,5,3,"bewitch by outward attractions, him they overcome by craft. For moreover, concerning them, the angel of the Lord told me, and taught me, that women are overcome by the spirit of fornication more than men, and in their heart they plot against men; and by means of their adornment they deceive first their minds, and by the glance of the eye instill the poison, and then through the accomplished"
Testament of Reuben,5,4,"act they take them captive. For a woman cannot force a man openly, but by a harlot's"
Testament of Reuben,5,5,"bearing she beguiles him. Flee, therefore, fornication, my children, and command your wives and your daughters, that they adorn not their heads and faces to deceive the mind: because every woman"
Testament of Reuben,5,6,"who useth these wiles hath been reserved for eternal punishment. For thus they allured the Watchers who were before the flood; for as these continually beheld them, they lusted after them, and they conceived the act in their mind; for they changed themselves into the shape of men, and"
Testament of Reuben,5,7,"appeared to them when they were with their husbands. And the women lusting in their minds after their forms, gave birth to giants, for the Watchers appeared to them as reaching even unto heaven."
Testament of Reuben,6,1,"Beware, therefore, of fornication; and if you wish to be pure in mind, guard your senses from every"
Testament of Reuben,6,2,"woman. And command the women likewise not to associate with men, that they also may be pure"
Testament of Reuben,6,3,"in mind. For constant meetings, even though the ungodly deed be not wrought, are to them an"
Testament of Reuben,6,4,"irremediable disease, and to us a destruction of Beliar and an eternal reproach. For in fornication"
Testament of Reuben,6,5,"there is neither understanding nor godliness, and all jealousy dwelleth in the lust thereof. Therefore, then I say unto you, ye will be jealous against the sons of Levi, and will seek to be exalted"
Testament of Reuben,6,6,"over them; but ye shall not be able. For God will avenge them, and ye shall die by an evil death."
Testament of Reuben,6,7,"For to Levi God gave the sovereignty [and to Judah with him and to me also, and to Dan and"
Testament of Reuben,6,8,"Joseph, that we should be for rulers]. Therefore I command you to hearken to Levi, because he shall know the law of the Lord, and shall give ordinances for judgement and shall sacrifice for all Israel until the consummation of the times, as the anointed High Priest, of whom the Lord spake,"
Testament of Reuben,6,9,I adjure you by the God of heaven to do truth each one unto his neighbour and to entertain love
Testament of Reuben,6,10,"each one for his brother. And draw ye near to Levi in humbleness of heart, that ye may receive"
Testament of Reuben,6,11,"a blessing from his mouth. For he shall bless Israel and Judah, because him hath the Lord chosen to"
Testament of Reuben,6,12,"be king over all the nation. And bow down before his seed, for on our behalf it will die in wars visible and invisible, and will be among you an eternal king."
Testament of Reuben,7,1,"And Reuben died, having given these commands to his sons. And they placed him in a coffin until they carried him up from Egypt, and buried him in Hebron in the cave where his father was."
Testament of Reuben,7,2,"And Reuben died, having given these commands to his sons. And they placed him in a coffin until they carried him up from Egypt, and buried him in Hebron in the cave where his father was."
Testament of Simeon,2,1,"Hearken, my children, to Simeon your father, And I will declare unto you what things I have in my heart."
Testament of Simeon,2,2,"I was born of Jacob as my father's second son; And my mother Leah called me Simeon, Because the Lord had heard her prayer."
Testament of Simeon,2,3,"Moreover, I became strong exceedingly; I shrank from no achievement, Nor was I afraid of ought."
Testament of Simeon,2,4,"For my heart was hard, And my liver was immovable, And my bowels without compassion. 5,"
Testament of Simeon,2,6,"Because valour also has been given from the Most High to men in soul and body. For in the time of my youth I was jealous in many things of Joseph, because my father loved him beyond"
Testament of Simeon,2,7,"all. And I set my mind against him to destroy him, because the prince of deceit sent forth the spirit of jealousy and blinded my mind, so that I regarded him not as a brother, nor did I spare even"
Testament of Simeon,2,8,"Jacob my father. But his God and the God of his fathers sent forth His angel, and delivered him"
Testament of Simeon,2,9,"out of my hands. For when I went to Shechem to bring ointment for the flocks, and Reuben to Dothan, where were our necessaries and all our stores, Judah my brother sold him to the Ishmaelites."
Testament of Simeon,2,10,"And when Reuben heard these things he was grieved, for he wished to restore him to his father."
Testament of Simeon,2,11,"But on hearing this I was exceedingly wroth against Judah in that he let him go away alive, and"
Testament of Simeon,2,12,"for five months I continued wrathful against him. But the Lord restrained me, and withheld from"
Testament of Simeon,2,13,"me the power of my hands; for my right hand was half withered for seven days. And I knew, my children, that because of Joseph this had befallen me, and I repented and wept; and I besought the Lord God that my hand might be restored, and that I might hold aloof from all pollution and envy"
Testament of Simeon,2,14,"and from all folly. For I knew that I had devised an evil thing before the Lord and Jacob my father, on account of Joseph my brother, in that I envied him."
Testament of Simeon,3,1,"2 And now, my children, hearken unto me and beware of the spirit of deceit and envy. For envy ruleth over the whole mind of a man, and suffereth him neither to eat nor to drink, nor to do any 3 good thing. But it ever suggesteth (to him) to destroy him that he envieth; and so long as he that 4 is envied flourisheth, he that envieth fadeth away. Two years therefore I afflicted my soul with fasting in the fear of the Lord, and I learnt that deliverance from envy cometh by the fear of God."
Testament of Simeon,3,5,"For if a man flee to the Lord, the evil spirit runneth away from him, and his mind is lightened."
Testament of Simeon,3,6,"And henceforward he sympathiseth with him whom he envied and forgiveth those who are hostile to him, and so ceaseth from his envy."
Testament of Simeon,4,1,"And my father asked Concerning me, because he saw that I was sad; and I said unto him, I am"
Testament of Simeon,4,2,"pained in my liver. For I mourned more than they all, because I was guilty of the selling of Joseph."
Testament of Simeon,4,3,"And when we went down into Egypt, and he bound me as a spy, I knew that I was suffering justly,"
Testament of Simeon,4,4,"and I grieved not. Now Joseph was a good man, and had the Spirit of God within him: being compassionate and pitiful, he bore no malice against me; but loved me even as the rest of his"
Testament of Simeon,4,5,"brethren. Beware, therefore, my children, of all jealousy and envy, and walk in singleness of soul and with good heart, keeping in mind Joseph your father's brother, that God may give you also grace and glory, and blessing upon your heads, even as ye saw in"
Testament of Simeon,4,6,"Joseph's case. All his days he reproached us not concerning this thing, but loved us as his own"
Testament of Simeon,4,7,"soul, and beyond his own sons glorified us, and gave us riches, and cattle and fruits. Do ye also, my children, love each one his brother with a good heart and the spirit of envy will withdraw from"
Testament of Simeon,4,8,"you. For this maketh savage the soul and destroyeth the body; it causeth anger and war in the mind, and stirreth up unto deeds of blood, and leadeth the mind into frenzy, and suffereth not prudence to act in men; moreover, it taketh away sleep, [and causeth tumult to the soul and trembling to the body]."
Testament of Simeon,4,9,"For even in sleep some malicious jealousy, deluding him, gnaweth and with wicked spirits disturbeth his soul, and causeth the body to be troubled, and waketh the mind from sleep in confusion; and as a wicked and poisonous spirit, so appeareth it to men."
Testament of Simeon,5,1,"Therefore was Joseph comely in appearance and goodly to look upon, because no wickedness"
Testament of Simeon,5,2,"dwelt in him; for some of the trouble of the spirit the face manifesteth. And now, my children, Make your hearts good before the Lord, And your ways straight before men. And ye shall find grace before the Lord and men."
Testament of Simeon,5,3,"Beware, therefore, of fornication, For fornication is mother of all evils, Separating from God, and bringing near to Beliar."
Testament of Simeon,5,4,"For I have seen it inscribed in the writing of Enoch that your sons shall be corrupted in fornication,"
Testament of Simeon,5,5,and shall do harm to the sons of Levi with the sword. But they shall not be able to withstand Levi;
Testament of Simeon,5,6,"for he shall wage the war of the Lord, and shall conquer all your hosts. And they shall be few in number, divided in Levi and Judah, and there shall be none of you for sovereignty, even as also our father prophesied in his blessings."
Testament of Simeon,6,1,"Behold I have told you all things, that I may be acquitted of your sin. Now, if ye remove from you your envy and all stiff-neckedness, As a rose shall my bones flourish in Israel, And as a lily my flesh in Jacob, And my odour shall be as the odour of Libanus; And as cedars shall holy ones be multiplied from me forever, And their branches shall stretch afar off. 3 Then shall perish the seed of Canaan, And a remnant shall not be unto Amalek, And all the Cappadocians shall perish, And all the Hittites shall be utterly destroyed. 4 Then shall fail the land of Ham, And all the people shall perish. Then shall all the earth rest from trouble, And all the world under heaven from war. 5 Then the Mighty One of Israel shall glorify Shem, For the Lord God shall appear on earth, And Himself save men. 6 Then shall all the spirits of deceit be given to be trodden under foot, And men shall rule over wicked spirits. 7 Then shall I arise in joy, And will bless the Most High because of his marvellous works, [Because God hath taken a body and eaten with men and saved men]."
Testament of Simeon,6,2,"Behold I have told you all things, that I may be acquitted of your sin. Now, if ye remove from you your envy and all stiff-neckedness, As a rose shall my bones flourish in Israel, And as a lily my flesh in Jacob, And my odour shall be as the odour of Libanus; And as cedars shall holy ones be multiplied from me forever, And their branches shall stretch afar off. 3 Then shall perish the seed of Canaan, And a remnant shall not be unto Amalek, And all the Cappadocians shall perish, And all the Hittites shall be utterly destroyed. 4 Then shall fail the land of Ham, And all the people shall perish. Then shall all the earth rest from trouble, And all the world under heaven from war. 5 Then the Mighty One of Israel shall glorify Shem, For the Lord God shall appear on earth, And Himself save men. 6 Then shall all the spirits of deceit be given to be trodden under foot, And men shall rule over wicked spirits. 7 Then shall I arise in joy, And will bless the Most High because of his marvellous works, [Because God hath taken a body and eaten with men and saved men]."
Testament of Simeon,7,1,"And now, my children, obey Levi and Judah, and be not lifted up against these two tribes, for"
Testament of Simeon,7,2,"from them shall arise unto you the salvation of God. For the Lord shall raise up from Levi as it were a High-priest, and from Judah as it were a King [God and man], He shall save all [the Gentiles"
Testament of Simeon,7,3,and] the race of Israel. Therefore I give you these commands that ye also may command your children that they may observe them throughout their generations.
Testament of Simeon,8,1,"And when Simeon had made an end of commanding his sons, he slept with his fathers, being an"
Testament of Simeon,8,2,"hundred and twenty years old. And they laid him in a wooden coffin, to take up his bones to"
Testament of Simeon,8,3,Hebron. And they took them up secretly during a war of the Egyptians. For the bones of Joseph
Testament of Simeon,8,4,"the Egyptians guarded in the tombs of the kings. For the sorcerers told them; that on the departure of the bones of Joseph there should be throughout all the land darkness and gloom, and an exceeding great plague to the Egyptians, so that even with a lamp a man should not recognize his brother."
Testament of Simeon,9,1,And the sons of Simeon bewailed their father. And they were in Egypt until the day of their departure by the hand of Moses.
Testament of Simeon,9,2,And the sons of Simeon bewailed their father. And they were in Egypt until the day of their departure by the hand of Moses.
Testament of Levi,2,1,"I, Levi, was born in Haran, and I came with my father to Shechem. And I was young, about"
Testament of Levi,2,2,"I, Levi, was born in Haran, and I came with my father to Shechem. And I was young, about"
Testament of Levi,2,3,"twenty years of age, when, with Simeon, I wrought vengeance on Hamor for our sister Dinah. And when I was feeding the flocks in Abel-Maul, the spirit of understanding of the Lord came upon me, and I saw all men corrupting their way, and that unrighteousness had built for itself walls, and lawlessness"
Testament of Levi,2,4,"sat upon towers. And I was grieving for the race of the sons of men, and I prayed to the"
Testament of Levi,2,5,"Lord that I might be saved. Then there fell upon me a sleep, and I beheld a high mountain, and"
Testament of Levi,2,6,"I was upon it. And behold the heavens were opened and an angel of God said to me, Levi enter"
Testament of Levi,2,7,"And I entered from the first heaven, and I saw there a great sea hanging."
Testament of Levi,2,8,"And further I saw a second heaven far brighter and more brilliant, for there was a boundless light also therein."
Testament of Levi,2,9,"And I said to the angel, Why Is this so? And the angel said to me, Marvel not at this, for thou shalt see another heaven more brilliant and incomparable."
Testament of Levi,2,10,"And when thou hast ascended thither, Thou shalt stand near the Lord, And shalt be His minister, And shalt declare His mysteries to men, And shall proclaim concerning Him that shall redeem Israel."
Testament of Levi,2,11,And by thee and Judah shall the Lord appear among men Saving every race of men.
Testament of Levi,2,12,"And from the Lord's portion shall be thy life, And He shall be thy field and vineyard, And fruits, gold, and silver. 3 l Hear, therefore, regarding the heavens which have been shown to thee. The lowest is for this cause gloomy unto thee, in that it beholds all the unrighteous deeds of men. 2 And it has fire, snow, and ice made ready for the day of judgement, in the righteous judgement of God; for in it are all the spirits of the retributions for vengeance on men. 3 And in the second are the hosts of the armies which are ordained for the day of judgement, to work vengeance on the spirits of deceit and of Beliar. And above them are the holy ones. 4 And in the highest of all dwelleth the Great Glory, far above all holiness. 5 In [the heaven next to] it are the archangels, who minister and make propitiation to the Lord for all the sins of ignorance of the righteous; Offering to the Lord a sweet- smelling savour, a reasonable and a bloodless offering."
Testament of Levi,4,1,"Now, therefore, know that the Lord shall execute judgment upon the sons of men. Because when the rocks are being rent, And the sun quenched, And the waters dried up, And the fire cowering, And all creation troubled, And the invisible spirits melting away; And Hades taketh spoils through the visitations of the Most High, Men will be unbelieving and persist in their iniquity. On this account with punishment shall they be judged."
Testament of Levi,4,2,"Therefore the Most High hath heard thy prayer, To separate thee from iniquity, and that thou shouldst become to Him a son, And a servant, and a minister of His presence."
Testament of Levi,4,3,"The light of knowledge shalt thou light up in Jacob, And as the sun shalt thou be to all the seed of Israel."
Testament of Levi,4,4,"And there shall be given to thee a blessing, and to all thy seed, Until the Lord shall visit all the Gentiles in His tender mercies for ever."
Testament of Levi,4,5,"And therefore there have been given to thee counsel and understanding, That thou mightst instruct thy sons concerning this;"
Testament of Levi,4,6,"Because they that bless Him shall be blessed, And they that curse Him shall perish."
Testament of Levi,5,1,"And thereupon the angel opened to me the gates of heaven, and I saw the holy temple, and upon"
Testament of Levi,5,2,"a throne of glory the Most High. And He said to me: Levi, I have given thee the blessings of the"
Testament of Levi,5,3,"priesthood until I come and sojourn in the midst of Israel. Then the angel brought me down to the earth, and gave me a shield and a sword, and said to me: Execute vengeance on Shechem because"
Testament of Levi,5,4,"of Dinah, thy sister, and I will be with thee because the Lord hath sent me. And I destroyed at"
Testament of Levi,5,5,"that time the sons of Hamor, as it is written in the heavenly tables. And I said to him: I pray"
Testament of Levi,5,6,"thee, O Lord, tell me Thy name, that I may call upon Thee in a day of tribulation. And he said: I am the angel who intercedeth for the nation of Israel that they may not be smitten utterly,"
Testament of Levi,5,7,"for every evil spirit attacketh it. And after these things I awaked, and blessed the Most High, and the angel who intercedeth for the nation of Israel and for all the righteous."
Testament of Levi,6,1,"And when I was going to my father, I found a brazen shield; wherefore also the name of the"
Testament of Levi,6,2,"mountain is Aspis, which is near Gebal, to the south of Abila And I kept these words in my"
Testament of Levi,6,3,"heart. And after this I counselled my father, and Reuben my brother, to bid the sons of Hamor not to be circumcised; for I was zealous because of the abomination which they had wrought on 4,"
Testament of Levi,6,5,"my sister. And I slew Shechem first, and Simeon slew Hamor. And after this my brothers"
Testament of Levi,6,6,"came and smote that city with the edge of the sword. And my father heard these things and was wroth, and he was grieved in that they had received the circumcision, and after that had been"
Testament of Levi,6,7,"put to death, and in his blessings he looked amiss upon us. For we sinned because we had done"
Testament of Levi,6,8,"this thing against his will, and he was sick on that day. But I saw that the sentence of God was for evil upon Shechem; for they sought to do to Sarah and Rebecca as they had done to Dinah our"
Testament of Levi,6,9,"sister, but the Lord prevented them. And they persecuted Abraham our father when he was a stranger, and they vexed his flocks when they were big with young; and Eblaen, who was born in his"
Testament of Levi,6,10,"house, they most shamefully handled. And thus they did to all strangers, taking away their"
Testament of Levi,6,11,"wives by force, and they banished them. But the wrath of the Lord came upon them to the uttermost."
Testament of Levi,7,1,"And I said to my father Jacob: By thee will the Lord despoil the Canaanites, and will give"
Testament of Levi,7,2,their land to thee and to thy seed after thee. For from this day forward shall Shechem be
Testament of Levi,7,3,"called a city of imbeciles; for as a man mocketh a fool, so did we mock them. Because also"
Testament of Levi,7,4,they had wrought folly in Israel by defiling my sister. And we departed and came to Bethel.
Testament of Levi,8,1,"And there again I saw a vision as the former, after we had spent there seventy days. And I saw seven men in white raiment saying unto me: Arise, put on the robe of the priesthood, and the crown of righteousness, and the breastplate of understanding, and the garment of truth, and the plate of faith, and the 3 turban of the head, and the ephod of prophecy. And they severally carried (these things) and put (them,) on me, and said unto me: From henceforth become a priest of the Lord, thou and thy seed for"
Testament of Levi,8,2,"And there again I saw a vision as the former, after we had spent there seventy days. And I saw seven men in white raiment saying unto me: Arise, put on the robe of the priesthood, and the crown of righteousness, and the breastplate of understanding, and the garment of truth, and the plate of faith, and the 3 turban of the head, and the ephod of prophecy. And they severally carried (these things) and put (them,) on me, and said unto me: From henceforth become a priest of the Lord, thou and thy seed for"
Testament of Levi,8,4,"ever. And the first anointed me with holy oil, and gave to me the staff of judgment. The second washed me with pure water, and fed me with bread and wine"
Testament of Levi,8,5,"ever. And the first anointed me with holy oil, and gave to me the staff of judgment. The second washed me with pure water, and fed me with bread and wine"
Testament of Levi,8,7,"me with a holy and glorious robe. The third clothed me with a linen vestment like an ephod. The 8,"
Testament of Levi,8,9,fourth put round me a girdle like unto purple. The fifth gave me a branch of rich olive. The sixth
Testament of Levi,8,10,"placed a crown on my head. The seventh placed on my head a diadem of priesthood, and filled my"
Testament of Levi,8,11,"hands with incense, that I might serve as priest to the Lord God. And they said to me: Levi, thy"
Testament of Levi,8,12,"seed shall be divided into three offices, for a sign of the glory of the Lord who is to come. And the"
Testament of Levi,8,13,"first portion shall be great; yea, greater than it shall none be. The second shall be in the priesthood."
Testament of Levi,8,14,"And the third shall be called by a new name, because a king shall arise in Judah, and shall"
Testament of Levi,8,15,"establish a new priesthood, after the fashion of the Gentiles [to all the Gentiles]. And His presence is beloved, as a prophet of the Most High, of the seed of Abraham our father."
Testament of Levi,8,16,"Therefore, every desirable thing in Israel shall be for thee and for thy seed, And ye shall eat everything fair to look upon, And the table of the Lord shall thy seed apportion."
Testament of Levi,8,17,"And some of them shall be high priests, and judges, and scribes; For by their mouth shall the holy place be guarded. 18,"
Testament of Levi,8,19,"And when I awoke, I understood that this (dream) was like the first dream. And I hid this also in my heart, and told it not to any man upon the earth."
Testament of Levi,9,1,"And after two days I and Judah went up with our father Jacob to Isaac our father's father. And my father's father blessed me according to all the words of the visions which I had seen. And 3 he would not come with us to Bethel. And when we came to Bethel, my father saw a vision 4 concerning me, that I should be their priest unto God. And he rose up early in the morning, 5 and paid tithes of all to the Lord through me. And so we came to Hebron to dwell there. 6 And Isaac called me continually to put me in remembrance of the law of the Lord, even as the 7 angel of the Lord showed unto me. And he taught me the law of the priesthood, of sacrifices, 8 whole burnt-offerings, first-fruits, freewill-offerings, peace-offerings. And each day he was instructing me, and was busied on my behalf before the Lord, and said to me:"
Testament of Levi,9,2,"And after two days I and Judah went up with our father Jacob to Isaac our father's father. And my father's father blessed me according to all the words of the visions which I had seen. And 3 he would not come with us to Bethel. And when we came to Bethel, my father saw a vision 4 concerning me, that I should be their priest unto God. And he rose up early in the morning, 5 and paid tithes of all to the Lord through me. And so we came to Hebron to dwell there. 6 And Isaac called me continually to put me in remembrance of the law of the Lord, even as the 7 angel of the Lord showed unto me. And he taught me the law of the priesthood, of sacrifices, 8 whole burnt-offerings, first-fruits, freewill-offerings, peace-offerings. And each day he was instructing me, and was busied on my behalf before the Lord, and said to me:"
Testament of Levi,9,10,"fornication; for this shall continue and shall by thy seed pollute the holy place. Take, therefore, to thyself a wife without blemish or pollution, w bile yet thou art young, and not of the race of"
Testament of Levi,9,11,"strange nations. And before entering into the holy place, bathe; and when thou offerest the"
Testament of Levi,9,12,"sacrifices wash; and again, when thou finishest the sacrifice, wash Of twelve trees having leaves 13, offer to the Lord, as Abraham taught me also. And of every clean beast and bird offer a"
Testament of Levi,9,14,"sacrifice to the Lord. And of all thy first -fruits and of wine offer the first, as a sacrifice to the Lord God; and every sacrifice thou shalt salt with salt."
Testament of Levi,10,1,"Now, therefore, observe whatsoever I command you, children: for whatsoever things I have"
Testament of Levi,10,2,"heard from my fathers I have declared unto you. And behold I am clear from your ungodliness and transgression, which ye shall commit in the end of the ages [against the Saviour of the world, Christ, acting godlessly], deceiving Israel, and stirring up against it great evils from the"
Testament of Levi,10,3,"Lord. And ye shall deal lawlessly together with Israel, so He shall not bear with Jerusalem because of your wickedness; but the veil of the temple shall be rent, so as not to cover your"
Testament of Levi,10,4,"shame. And ye shall be scattered as captives among the Gentiles, and shall be for a reproach"
Testament of Levi,10,5,"and for a curse there. For the house which the Lord shall choose shall be called Jerusalem, as is contained in the book of Enoch the righteous."
Testament of Levi,11,1,"Therefore when I took a wife I was twenty-eight years old, and her name was"
Testament of Levi,11,2,"Therefore when I took a wife I was twenty-eight years old, and her name was"
Testament of Levi,11,4,"And I saw concerning him, that he would not be in the first rank, And Kohath was born in the"
Testament of Levi,11,5,"thirty-fifth year of my life, towards sunrise. And I saw in a vision that he was standing on high"
Testament of Levi,11,6,"in the midst of all the congregation, Therefore I called his name Kohath [which is, beginning of"
Testament of Levi,11,7,"majesty and instruction]. And she bare me a third son, in the fortieth year of my life; and since his mother bare him with difficulty, I called him Merari, that is, 'my bitterness,' because he also was"
Testament of Levi,11,8,"like to die. And Jochebed was born in Egypt, in my sixty-fourth year, for I was renowned then in the midst of my brethren."
Testament of Levi,12,1,"And Gersam took a wife, and she bare to him Lomni and Semei. And the sons of Kohath, 3, 4 Ambram, Issachar, Hebron, and Ozeel. And the sons of Merari, Mooli, and Mouses. And in the ninety-fourth year Ambram took Jochebed my daughter to him to wife, for they were born in one 5 day, he and my daughter. Eight years old was"
Testament of Levi,12,2,"And Gersam took a wife, and she bare to him Lomni and Semei. And the sons of Kohath, 3, 4 Ambram, Issachar, Hebron, and Ozeel. And the sons of Merari, Mooli, and Mouses. And in the ninety-fourth year Ambram took Jochebed my daughter to him to wife, for they were born in one 5 day, he and my daughter. Eight years old was"
Testament of Levi,12,6,"a wife, and at forty-eight I went into Egypt. And behold, my children, ye are a third generation."
Testament of Levi,12,7,In my hundred and eighteenth year Joseph died.
Testament of Levi,13,1,"And now, my children, I command you: Fear the Lord your God with your whole heart, And walk in simplicity according to all His law."
Testament of Levi,13,2,"And do ye also teach your children letters, That they may have understanding all their life, Reading unceasingly the law of God."
Testament of Levi,13,3,"For every one that knoweth the law of the Lord shall be honoured, And shall not be a stranger whithersoever he goeth."
Testament of Levi,13,4,"Yea, many friends shall he gain more than his parents, And many men shall desire to serve him, And to hear the law from his mouth."
Testament of Levi,13,5,"Work righteousness, therefore, my children, upon the earth, That ye may have (it) as a treasure in heaven."
Testament of Levi,13,6,"And sow good things in your souls, That ye may find them in your life. But if ye sow evil things, Ye shall reap every trouble and affliction."
Testament of Levi,13,7,"Get wisdom in the fear of God with diligence; For though there be a leading into captivity, And cities and lands be destroyed, And gold and silver and every possession perish, The wisdom of the wise nought can take away, Save the blindness of ungodliness, and the callousness (that comes) of sin."
Testament of Levi,13,8,"For if one keep oneself from these evil things, Then even among his enemies shall wisdom be a glory to him, And in a strange country a fatherland, And in the midst of foes shall prove a friend."
Testament of Levi,13,9,"Whosoever teaches noble things and does them, Shall be enthroned with kings, As was also Joseph my brother."
Testament of Levi,14,1,"Therefore, my children, I have learnt that at the end of the ages ye will transgress against the Lord, stretching out hands to wickedness [against Him]; and to all the Gentiles shall ye become a scorn."
Testament of Levi,14,2,For our father Israel is pure from the transgressions of the chief priests [who shall lay their hands upon the Saviour of the world].
Testament of Levi,14,3,"For as the heaven is purer in the Lord's sight than the earth, so also be ye, the lights of Israel, (purer) than all the Gentiles."
Testament of Levi,14,4,"But if ye be darkened through transgressions, what, therefore, will all the Gentiles do living in blindness? Yea, ye shall bring a curse upon our race, because the light of the law which was given for to lighten every man this ye desire to destroy by teaching commandments contrary to the ordinances of God."
Testament of Levi,14,5,"The offerings of the Lord ye shall rob, and from His portion shall ye steal choice portions,"
Testament of Levi,14,6,"eating (them) contemptuously with harlots. And out of covetousness ye shall teach the commandments of the Lord, wedded women shall ye pollute, and the virgins of Jerusalem shall ye defile: and with harlots and adulteresses shall ye be joined, and the daughters of the Gentiles shall ye take to wife, purifying them with an unlawful purification; and your union shall be like unto Sodom and 7 Gomorrah. And ye shall be puffed up because of your priesthood, lifting yourselves up against"
Testament of Levi,14,8,"men, and not only so, but also against the commands of God. For ye shall contemn the holy things with jests and laughter."
Testament of Levi,15,1,"Therefore the temple, which the Lord shall choose, shall be laid waste through your uncleanness,"
Testament of Levi,15,2,"and ye shall be captives throughout all nations. And ye shall be an abomination unto them, and ye"
Testament of Levi,15,3,shall receive reproach and everlasting shame from the righteous judgement of God. And all who hate
Testament of Levi,15,4,"you shall rejoice at your destruction. And if you were not to receive mercy through Abraham, Isaac, and Jacob, our fathers, not one of our seed should be left upon the earth."
